period,seriesId,Item,seriesDescription,stateId,stateDescription,value,unit
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),US,United States,10250952.0,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),IN,Indiana,204147.3,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),IL,Illinois,486089.7,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),ID,Idaho,38344.1,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),NM,New Mexico,55002.2,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),NJ,New Jersey,360530.4,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),NH,New Hampshire,45604.9,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),NE,Nebraska,56582.7,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),KY,Kentucky,114549.6,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),KS,Kansas,85990.5,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),IA,Iowa,93125.6,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),MA,Massachusetts,287091.4,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),CO,Colorado,179303.3,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),LA,Louisiana,132375.8,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),RI,Rhode Island,34608.5,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),PA,Pennsylvania,409330.2,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),VA,Virginia,268608.7,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),UT,Utah,70056.3,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),CA,California,1354791.3,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),TX,Texas,742161.5,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),TN,Tennessee,182209.7,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),SC,South Carolina,115332.7,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),SD,South Dakota,22866.7,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),NY,New York,839853.0,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),NV,Nevada,77181.5,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),OR,Oregon,117057.2,Million dollars
2000,GDPRV,GDP_Nominal,Current-dollar gross domestic product (GDP),VT,Vermont,18492.9,Million dollars
