Year,US_first,stateId,stateDescription,GDP_Nominal,GDP_Real,pct_EneryExpend_w_GDP,EnergyUse_per_GDP,Population,EnergyUse_per_capita,EneryExpend_per_capita,PrimEnergy_Production,EnergyUse_SectorTotal,EnergyPrice,EneryExpend_EndTotal,EnergyUse_EndTotal,EnergyUse1_Residential,EnergyUse2_Commercial,EnergyUse3_Industrial,EnergyUse4_Transportation,days_cooling,days_heating,ElectricityUse_EndTotal,ElectricityPrice,ElectricityExpend_EndTotal,EnergyUse5_ElecPower_import
2000,0,US,United States,10250952.0,14096033.0,6.71,6.86,282162.0,342.7,2437.3,69228979.0,96686064.0,10.33,687710.9,72259993.0,11190781.0,8216014.0,26373870.0,26479327.0,1233.0,4491.0,11673865.0,20.03,231577.5,36099936.0
2000,1,AK,Alaska,26934.0,38428.1,10.55,19.13,628.0,1170.9,4525.1,2640391.0,735260.0,8.03,2841.6,699375.0,35868.0,50432.0,393342.0,219733.0,4.0,10363.0,18118.0,29.6,532.0,54003.0
2000,1,AL,Alabama,120522.6,168695.3,9.99,12.24,4452.0,463.8,2704.1,1498716.0,2065058.0,8.78,12038.9,1485787.0,170802.0,107093.0,735343.0,472549.0,2052.0,2802.0,284985.0,16.6,4592.3,1182537.0
2000,1,AR,Arkansas,69176.3,95509.8,10.39,11.78,2679.0,419.9,2683.7,431290.0,1124742.0,9.47,7188.4,812223.0,107193.0,71334.0,339858.0,293838.0,1880.0,3565.0,141977.0,17.04,2348.6,425090.0
2000,1,AZ,Arizona,165735.6,224729.3,6.41,5.74,5161.0,250.0,2058.8,648380.0,1289942.0,12.94,10624.8,852555.0,137040.0,123732.0,131879.0,459904.0,3188.0,1945.0,208576.0,21.25,4431.2,862166.0
2000,1,CA,California,1354791.3,1784320.6,5.04,4.21,33988.0,220.8,2009.0,2695702.0,7504611.0,12.05,68282.0,6085756.0,839892.0,614314.0,1618092.0,3013458.0,831.0,2836.0,832723.0,27.81,22904.7,1593329.0
2000,1,CO,Colorado,179303.3,238739.3,4.83,5.27,4327.0,290.7,2001.7,1574210.0,1257656.0,10.25,8661.1,912470.0,182341.0,134250.0,229838.0,366041.0,418.0,6877.0,146785.0,17.27,2507.8,449046.0
2000,1,CT,Connecticut,165523.4,233874.2,4.83,3.6,3412.0,246.5,2342.6,217677.0,841087.0,13.51,7992.6,603115.0,177664.0,119598.0,77881.0,227972.0,360.0,6108.0,102198.0,27.91,2852.3,351181.0
2000,1,DC,District of Columbia,61267.7,92764.3,2.46,2.1,572.0,340.6,2629.4,1353.0,194839.0,14.58,1504.1,104269.0,23863.0,52629.0,1498.0,26279.0,1246.0,4110.0,36220.0,22.09,799.9,2301.0
2000,1,DE,Delaware,43559.6,63388.8,4.44,4.79,786.0,386.4,2457.0,2288.0,303878.0,10.41,1932.2,210750.0,33327.0,24348.0,82630.0,70445.0,870.0,4735.0,38468.0,17.86,681.8,61152.0
2000,1,FL,Florida,490094.4,693837.3,6.17,5.86,16048.0,253.5,1882.9,566872.0,4067861.0,12.07,30216.1,2567927.0,400209.0,349602.0,414456.0,1403661.0,3347.0,722.0,668216.0,20.24,13525.5,1874296.0
2000,1,GA,Georgia,305323.7,417713.5,6.44,6.95,8227.0,352.7,2388.7,544004.0,2901426.0,9.93,19652.4,2037221.0,326738.0,207209.0,644324.0,858949.0,1694.0,3059.0,406659.0,18.25,7367.0,1167654.0
2000,1,HI,Hawaii,41089.4,60745.7,6.58,4.46,1214.0,223.1,2229.1,17784.0,270704.0,15.23,2705.1,197480.0,11468.0,13216.0,47699.0,125096.0,4454.0,0.0,33064.0,41.24,1341.2,106289.0
2000,1,IA,Iowa,93125.6,129323.4,8.79,9.17,2929.0,404.9,2794.6,146321.0,1186020.0,9.9,8185.6,859573.0,135310.0,88990.0,364404.0,270870.0,808.0,6716.0,133368.0,17.39,2318.8,435662.0
2000,1,ID,Idaho,38344.1,49793.0,8.18,9.36,1299.0,358.8,2414.3,66995.0,466227.0,9.04,3137.3,360161.0,53185.0,44783.0,137961.0,124232.0,486.0,6902.0,77910.0,12.23,953.2,40353.0
2000,1,IL,Illinois,486089.7,687111.4,5.94,5.86,12434.0,324.0,2322.9,1888016.0,4028341.0,10.47,28883.1,2931511.0,644963.0,406070.0,916402.0,964076.0,806.0,6130.0,459586.0,20.38,9292.4,1873964.0
2000,1,IN,Indiana,204147.3,278990.4,8.16,10.27,6092.0,470.1,2734.9,674288.0,2863914.0,8.23,16660.8,2112490.0,295613.0,188477.0,970017.0,658383.0,793.0,5810.0,333608.0,15.24,5021.2,1286989.0
2000,1,KS,Kansas,85990.5,118840.9,8.44,9.39,2694.0,414.3,2694.0,905908.0,1116018.0,10.41,7256.8,801254.0,129060.0,91844.0,310361.0,269988.0,1680.0,4956.0,122564.0,18.42,2241.9,492651.0
2000,1,KY,Kentucky,114549.6,161101.0,9.0,11.1,4049.0,441.5,2546.2,3397692.0,1787820.0,9.3,10309.7,1167058.0,169404.0,113441.0,443009.0,441204.0,1137.0,4579.0,267215.0,12.31,3248.1,946994.0
2000,1,LA,Louisiana,132375.8,206556.1,17.49,20.95,4472.0,967.6,5176.3,2746409.0,4327071.0,7.6,23147.9,3866213.0,159030.0,116014.0,2736984.0,854184.0,2792.0,1725.0,275315.0,19.12,5117.3,757886.0
2000,1,MA,Massachusetts,287091.4,382599.6,5.02,3.98,6361.0,239.5,2265.2,119709.0,1523679.0,13.03,14408.9,1121300.0,319687.0,193822.0,157078.0,450713.0,299.0,6361.0,176650.0,27.75,4901.2,393017.0
2000,1,MD,Maryland,191430.2,269301.2,5.88,5.36,5311.0,271.8,2119.8,296948.0,1443518.0,11.87,11258.3,962658.0,213163.0,173287.0,174826.0,401382.0,879.0,4757.0,207033.0,19.72,4083.1,509129.0
