period,msn,Item,seriesDescription,value,unit
1949,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,30613.106,Trillion Btu
1950,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,34459.73,Trillion Btu
1951,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,37672.919,Trillion Btu
1952,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,36813.356,Trillion Btu
1953,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,37130.976,Trillion Btu
1954,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,35527.47,Trillion Btu
1955,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,39167.537,Trillion Btu
1956,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,41596.188,Trillion Btu
1957,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,41907.15,Trillion Btu
1958,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,39020.172,Trillion Btu
1959,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,40868.746,Trillion Btu
1960,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,41690.73,Trillion Btu
1961,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,42134.141,Trillion Btu
1962,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,43623.792,Trillion Btu
1963,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,45953.362,Trillion Btu
1964,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,47755.686,Trillion Btu
1965,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,49255.999,Trillion Btu
1966,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,52119.676,Trillion Btu
1967,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,54765.631,Trillion Btu
1968,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,56607.464,Trillion Btu
1969,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,58713.055,Trillion Btu
1970,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,61680.507,Trillion Btu
1971,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,60777.442,Trillion Btu
1972,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,61937.322,Trillion Btu
1973,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,61592.952,Trillion Btu
1974,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,60152.492,Trillion Btu
1975,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,59140.884,Trillion Btu
1976,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,59499.382,Trillion Btu
1977,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,60374.687,Trillion Btu
1978,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,61069.714,Trillion Btu
1979,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,63858.71,Trillion Btu
1980,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,65163.631,Trillion Btu
1981,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,65011.741,Trillion Btu
1982,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,64292.891,Trillion Btu
1983,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,61639.884,Trillion Btu
1984,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,66465.843,Trillion Btu
1985,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,65595.457,Trillion Btu
1986,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,64889.589,Trillion Btu
1987,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,65659.019,Trillion Btu
1988,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,67255.507,Trillion Btu
1989,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,67256.001,Trillion Btu
