Year,TotPrimEnergy_1Production,TotPrimEnergy_2Consumed,TotEnergy_2EndUse,EnergyUse1_Residential,EnergyUse2_Commercial,EnergyUse3_Industrial,EnergyUse4_Transportation,TotElectricity_2Used,ElectricityUse1_Residential,ElectricityUse2_Commercial,ElectricityUse3_Industrial,ElectricityUse4_Transportation,PrimEnergyUse5_ElectricPower,GDP_Deflator2017,GDP_Nominal,GDP_Real,POP_US,Energy_Expenditure,pct_EnergyExpend_w_GDP,EnergyExpend_per_capita,PrimEnergyUse_per_GDP,PrimEnergyUse_per_capita,days_cooling,days_heating
1949,30613.106,30866.419,28438.47,4688.482,2869.013,12979.35,7901.625,868.393,227.894,200.104,418.28,22.114,3296.506,0.12046,272.5,2261.9,149.2,,,,13.65,207,1103,4933
1950,34459.73,33527.374,30861.148,5075.876,3059.238,14319.447,8406.588,994.405,246.348,225.094,499.785,23.178,3660.61,0.12195,299.8,2458.5,152.3,,,,13.64,220,873,5362
1951,37672.919,35885.997,32962.26,5388.193,2990.098,15626.384,8957.585,1126.931,283.513,252.36,566.965,24.093,4050.481,0.1306,346.9,2656.3,154.9,,,,13.51,232,975,5310
1952,36813.356,35634.55,32557.181,5477.581,2946.255,15204.621,8928.724,1215.231,319.175,273.287,600.947,21.823,4292.519,0.13286,367.3,2764.8,157.6,,,,12.89,226,1111,5082
1953,37130.976,36601.753,33220.626,5408.096,2809.366,15951.164,9052.0,1351.892,355.347,296.928,677.685,21.932,4733.058,0.13447,389.2,2894.4,160.2,,,,12.65,228,1108,4747
1954,35527.47,35634.683,32240.87,5659.126,2776.988,14962.142,8842.613,1447.247,396.571,319.346,711.282,20.048,4840.968,0.13572,390.5,2877.7,163.0,,,,12.38,219,1088,4961
1955,39167.537,39215.038,35384.665,6046.176,2911.215,16932.953,9494.321,1694.904,438.103,349.891,887.033,19.877,5525.247,0.13801,425.5,3083.0,165.9,,,,12.72,236,1145,5242
1956,41596.188,40714.353,36617.738,6329.206,2987.107,17492.547,9808.878,1863.909,489.542,380.177,975.653,18.537,5960.698,0.14271,449.4,3148.8,168.9,,,,12.93,241,1000,5124
1957,41907.15,40693.313,36462.844,6278.929,2860.046,17470.966,9852.902,1964.698,534.74,410.679,1003.093,16.187,6195.295,0.14744,474.0,3215.1,172.0,,,,12.66,237,1019,5043
1958,39020.172,40507.326,36391.4,6703.989,2992.542,16728.324,9966.544,2005.789,578.308,435.256,977.708,14.517,6121.705,0.1508,481.2,3191.2,174.9,,,,12.69,232,965,5463
1959,40868.746,42356.119,37810.42,6818.344,3137.35,17542.67,10312.056,2207.181,629.664,487.86,1075.239,14.418,6752.943,0.15287,521.7,3412.4,177.8,,,,12.41,238,1144,5091
1960,41690.73,43942.401,39204.006,7338.626,3265.668,18029.631,10570.081,2347.711,687.393,542.999,1106.859,10.46,7086.1,0.15495,542.4,3500.3,180.7,,,,12.55,243,1002,5400
1961,42134.141,44564.329,39678.264,7507.703,3337.136,18089.349,10744.075,2463.294,731.686,572.042,1149.25,10.316,7349.463,0.1566,562.2,3590.1,183.7,,,,12.41,243,982,5190
1962,43623.792,46545.105,41376.372,7874.476,3544.853,18761.957,11195.086,2653.17,794.32,620.863,1227.821,10.167,7821.945,0.1585,603.9,3810.1,186.5,,,,12.22,250,996,5340
1963,45953.362,48392.685,42781.615,7945.857,3608.867,19596.874,11630.016,2840.876,855.568,687.563,1287.79,9.955,8451.821,0.16032,637.5,3976.1,189.2,,,,12.17,256,1015,5357
1964,47755.686,50482.863,44476.782,8039.76,3715.128,20748.608,11973.286,3057.353,927.525,737.79,1382.027,10.011,9063.572,0.16276,684.5,4205.3,191.9,,,,12.0,263,1011,5082
1965,49255.999,52564.923,46173.135,8272.86,3965.629,21525.923,12408.722,3254.329,992.935,788.603,1462.817,9.974,9645.995,0.16574,742.3,4478.6,194.3,,,,11.74,271,981,5143
1966,52119.676,55561.695,48476.351,8582.145,4268.317,22548.678,13077.211,3531.913,1081.223,859.233,1581.815,9.642,10617.46,0.17039,813.4,4773.9,196.6,,,,11.64,283,984,5305
1967,54765.631,57313.46,49926.936,8872.422,4693.022,22633.238,13728.255,3750.529,1160.469,925.178,1654.872,10.01,11137.386,0.17533,860.0,4904.9,198.7,,,,11.68,288,904,5211
1968,56607.464,60820.485,52599.951,9235.299,4913.581,23609.574,14841.497,4104.196,1301.916,1013.959,1778.105,10.215,12324.49,0.1828,940.7,5145.9,200.7,,,,11.82,303,979,5243
